,drug_supplier_id,name,phone,address
1,dsupp86620178,PT. Degepharm,+62 (0286) 611-8037,"Jl. Perintis Kemerdekaan No.275, Semarang"
2,dsupp60121950,PT. Djojonegoro C-1000,+62 (521) 292-7954,"Jl. Raya Siliwangi KM. 18,9 Cicurug, Kabupaten Sukabumi"
3,dsupp17274531,PT. Berlico Mulia Farma,+62-065-399-5203,"Jalan Juwangan Kalasan Km. 10,6 Sleman Yokyakarta"
4,dsupp63336504,PT. Dexa Medica,+62 (0816) 933-4773,"Jl. Jend. Bambang Utoyo No. 138, Palembang"
5,dsupp01015621,PT. Ferron Par Pharmaceuticals,+62-0977-337-8606,"Kawasan Industri Jababeka I, Jl. Jababeka VI Blok J3, Cikarang, Kabupaten Bekasi."
6,dsupp01587166,PT. Graha Farma,+62 (892) 500-1360,"Jl. Raya Grompol-Jambangan Km.3,5 Kel.Kaliwuluh Kec.Kebakkramat Kab. Karanganyar 57762"
7,dsupp89350461,PT. Guardian Pharmatama,+62 (24) 033 3833,"Jl. Pahlawan No.25, Desa Karang Asem Timur, Citeureup, Bogor"
8,dsupp19180007,PT. Aventis Pharma,+62 (0545) 725 8996,"Jl. Jenderal Ahmad Yani, Pulo Mas, Pulo Gadung, Jakarta Timur"
9,dsupp56421835,PT. Armoxindo Farma,+62 (021) 308-2562,"Jl. Farmasi No.1, Sukanagalih - Pacet Cianjur, Jawa Barat"
10,dsupp10348291,PT. Pim Pharmaceuticals,+62 (67) 981 0864,"Jl. Raya Candiwates No. 20, Kecamatan Prigen, Kabupaten Pasuruan"
11,dsupp33464473,PT. Bromo Pharmaceutical,+62-0465-893-6316,"Kompleks Industri & Pergudangan Sentral Prima Teknopark Blok A No. 10 Jl. Palem Manis Raya, Jatiuwung, Kel. Gandasari, Tangerang, Banten"
12,dsupp05921201,PT. Pharos Indonesia,+62 (96) 069-7327,"Jl. Limo No. 40, Permata Hijau, Kel. Grogol Selatan, Kec. Kebayoran Lama, Jakarta Selatan"
13,dsupp04217381,PT. Duta Kaisar Pharmacy,0879024853,"Jl. Adi Sucipto No. 41, Blulukan, Colomadu, Karanganyar - Jawa Tengah"
14,dsupp90825384,PT. Gracia Pharmindo,0860817491,"Kawasan Industri Dwipapuri Blok M-30 Jl. Raya Rancaekek KM 24.5, Bandung."
15,dsupp27282441,PT. Aditama,+62-072-499-5521,"Jl. Rungkut Industri II. No. 45 C Surabaya"
16,dsupp21204364,PT. Arto Pharma Indonesia,(0915) 058 0972,"Jl. Siliwangi No. 49. Desa Keroncong, Jatiuwung, Tangerang 15134"
17,dsupp71829029,PT. Medikon Prima Laboratories,+62 (07) 610-7053,"Jalan Raya Serang Km. 12, Cikupa, Tangerang - Banten"
18,dsupp31637374,PT. Mudita Karuna,+62 (03) 745 4489,"Kampung Ledug Ds Keroncong  Kec. Curug Tangerang"
19,dsupp93053402,PT. Balatif,+62 (62) 462 1688,"Jl. Tenaga Tengah No. 5, Malang"
