transaction_logistic_pharmacy_id,date,drug_supplier,drug_id,quantity
L1,3/24/2019 13:28,dsupp24186049,drug39664051,576
L2,3/24/2019 13:28,dsupp24186049,drug45996863,881
L3,3/24/2019 13:28,dsupp24186049,drug18797701,262
L4,3/24/2019 13:28,dsupp24186049,drug45996863,334
L5,3/24/2019 13:28,dsupp24186049,drug94575323,777
L6,3/24/2019 13:28,dsupp24186049,drug13038472,340
L7,3/24/2019 13:28,dsupp24186049,drug37858179,992
L8,3/24/2019 13:28,dsupp24186049,drug80124078,838
L9,3/24/2019 13:28,dsupp24186049,drug43043958,910
L10,3/24/2019 13:28,dsupp24186049,drug39664051,105
L11,3/24/2019 13:28,dsupp24186049,drug42187806,861
L12,3/24/2019 13:28,dsupp24186049,drug75339562,495
L13,3/24/2019 13:28,dsupp24186049,drug40052861,509
L14,3/24/2019 13:28,dsupp24186049,drug49452730,467
L15,3/24/2019 13:28,dsupp24186049,drug51423551,593
L16,3/24/2019 13:28,dsupp24186049,drug09332102,504
L17,3/24/2019 13:28,dsupp24186049,drug31999410,735
L18,3/24/2019 13:28,dsupp24186049,drug03704639,310
L19,3/24/2019 13:28,dsupp24186049,drug52874741,148
L20,3/24/2019 13:28,dsupp24186049,drug00296038,558
L21,3/24/2019 13:28,dsupp24186049,drug29155903,802
L22,3/24/2019 13:28,dsupp24186049,drug13038472,663
L23,3/24/2019 13:28,dsupp24186049,drug34789896,779
L24,3/24/2019 13:28,dsupp24186049,drug26446547,532
L25,3/24/2019 13:28,dsupp24186049,drug78223950,604
L26,3/24/2019 13:28,dsupp24186049,drug52419621,994
L27,3/24/2019 13:28,dsupp24186049,drug07954108,614
L28,3/24/2019 13:28,dsupp24186049,drug45482502,286
L29,3/24/2019 13:28,dsupp24186049,drug72889619,201
L30,3/24/2019 13:28,dsupp24186049,drug45996863,331
L31,3/24/2019 13:28,dsupp24186049,drug82066062,479
L32,3/24/2019 13:28,dsupp24186049,drug53526540,609
L33,3/24/2019 13:28,dsupp24186049,drug79748780,477
L34,3/24/2019 13:28,dsupp24186049,drug29155903,521
L35,3/24/2019 13:28,dsupp24186049,drug90482731,316
L36,3/24/2019 13:28,dsupp24186049,drug63247565,692
L37,3/24/2019 13:28,dsupp24186049,drug22125507,555
L38,3/24/2019 13:28,dsupp24186049,drug45403330,599
L39,3/24/2019 13:28,dsupp24186049,drug51671051,496
L40,3/24/2019 13:28,dsupp24186049,drug19384863,501
L41,3/24/2019 13:28,dsupp24186049,drug52419621,772
L42,3/24/2019 13:28,dsupp24186049,drug45403330,142
L43,3/24/2019 13:28,dsupp24186049,drug38178634,675
L44,3/24/2019 13:28,dsupp24186049,drug80279068,709
L45,3/24/2019 13:28,dsupp24186049,drug16108141,946
L46,3/24/2019 13:28,dsupp24186049,drug90435782,433
L47,3/24/2019 13:28,dsupp24186049,drug60470010,353
L48,3/24/2019 13:28,dsupp24186049,drug17244244,928
L49,3/24/2019 13:28,dsupp24186049,drug80124078,356
L50,3/24/2019 13:28,dsupp24186049,drug38475368,552
L51,3/24/2019 13:28,dsupp24186049,drug47051621,486
L52,3/24/2019 13:28,dsupp24186049,drug90626067,302
L53,3/24/2019 13:28,dsupp24186049,drug07596964,650
L54,3/24/2019 13:28,dsupp24186049,drug37858179,503
L55,3/24/2019 13:28,dsupp24186049,drug09332102,844
L56,3/24/2019 13:28,dsupp24186049,drug55536073,174
L57,10/4/2016 19:30,dsupp86637336,drug12503070,913
L58,10/4/2016 19:30,dsupp86637336,drug85864856,600
L59,10/4/2016 19:30,dsupp86637336,drug85881884,308
L60,10/4/2016 19:30,dsupp86637336,drug11824657,854
L61,10/4/2016 19:30,dsupp86637336,drug63617689,614
L62,10/4/2016 19:30,dsupp86637336,drug36646647,602
L63,10/4/2016 19:30,dsupp86637336,drug51906948,839
L64,10/4/2016 19:30,dsupp86637336,drug53526540,979
L65,10/4/2016 19:30,dsupp86637336,drug27231500,610
L66,10/4/2016 19:30,dsupp86637336,drug68272647,148
L67,10/4/2016 19:30,dsupp86637336,drug91280893,834
L68,10/4/2016 19:30,dsupp86637336,drug19384863,752
L69,10/4/2016 19:30,dsupp86637336,drug35020578,348
L70,10/4/2016 19:30,dsupp86637336,drug36537068,425
L71,10/4/2016 19:30,dsupp86637336,drug03704639,191
L72,10/4/2016 19:30,dsupp86637336,drug59470267,216
L73,10/4/2016 19:30,dsupp86637336,drug92078413,657
L74,10/4/2016 19:30,dsupp86637336,drug47051621,341
L75,10/4/2016 19:30,dsupp86637336,drug59016069,230
L76,10/4/2016 19:30,dsupp86637336,drug24571234,163
L77,10/4/2016 19:30,dsupp86637336,drug78665699,102
L78,10/4/2016 19:30,dsupp86637336,drug53526540,842
L79,10/4/2016 19:30,dsupp86637336,drug07437342,716
L80,10/4/2016 19:30,dsupp86637336,drug05810291,845
L81,10/4/2016 19:30,dsupp86637336,drug37591403,950
L82,10/4/2016 19:30,dsupp86637336,drug12890255,201
L83,10/4/2016 19:30,dsupp86637336,drug36775507,273
L84,10/4/2016 19:30,dsupp86637336,drug75324698,378
L85,10/4/2016 19:30,dsupp86637336,drug31004220,566
L86,10/4/2016 19:30,dsupp86637336,drug18797701,284
L87,10/4/2016 19:30,dsupp86637336,drug22852205,905
L88,10/4/2016 19:30,dsupp86637336,drug54349650,408
L89,10/4/2016 19:30,dsupp86637336,drug12503070,684
L90,10/4/2016 19:30,dsupp86637336,drug18797701,630
L91,10/4/2016 19:30,dsupp86637336,drug34105634,495
L92,10/4/2016 19:30,dsupp86637336,drug31999410,494
L93,10/4/2016 19:30,dsupp86637336,drug11824657,530
L94,10/4/2016 19:30,dsupp86637336,drug91871275,595
L95,10/4/2016 19:30,dsupp86637336,drug81285006,774
L96,10/4/2016 19:30,dsupp86637336,drug07951190,405
L97,10/4/2016 19:30,dsupp86637336,drug05810291,183
L98,10/4/2016 19:30,dsupp86637336,drug70682915,469
L99,10/4/2016 19:30,dsupp86637336,drug13038472,338
L100,10/4/2016 19:30,dsupp86637336,drug90730092,448
L101,10/4/2016 19:30,dsupp86637336,drug54349650,306
L102,10/4/2016 19:30,dsupp86637336,drug96335857,851
L103,10/4/2016 19:30,dsupp86637336,drug27231500,998
L104,10/4/2016 19:30,dsupp86637336,drug87480702,101
L105,10/4/2016 19:30,dsupp86637336,drug82563585,863
L106,10/4/2016 19:30,dsupp86637336,drug30212688,547
L107,10/4/2016 19:30,dsupp86637336,drug63617689,162
L108,10/4/2016 19:30,dsupp86637336,drug12503070,713
L109,10/4/2016 19:30,dsupp86637336,drug13038472,552
L110,10/4/2016 19:30,dsupp86637336,drug02347912,823
L111,10/4/2016 19:30,dsupp86637336,drug26446547,686
L112,10/4/2016 19:30,dsupp86637336,drug65864098,732
L113,10/4/2016 19:30,dsupp86637336,drug43279241,837
L114,10/4/2016 19:30,dsupp86637336,drug36537068,256
L115,10/4/2016 19:30,dsupp86637336,drug37448561,299
L116,10/4/2016 19:30,dsupp86637336,drug28011682,577
L117,10/4/2016 19:30,dsupp86637336,drug02684192,899
L118,10/4/2016 19:30,dsupp86637336,drug22125507,586
L119,10/4/2016 19:30,dsupp86637336,drug90730092,435
L120,10/4/2016 19:30,dsupp86637336,drug81472369,154
L121,10/4/2016 19:30,dsupp86637336,drug13038472,658
L122,10/4/2016 19:30,dsupp86637336,drug81285006,358
L123,10/4/2016 19:30,dsupp86637336,drug81285006,579
L124,10/4/2016 19:30,dsupp86637336,drug30212688,911
L125,10/4/2016 19:30,dsupp86637336,drug40688589,315
L126,10/4/2016 19:30,dsupp86637336,drug70415612,325
L127,10/4/2016 19:30,dsupp86637336,drug81570454,675
L128,10/4/2016 19:30,dsupp86637336,drug59470267,361
L129,10/4/2016 19:30,dsupp86637336,drug22155948,922
L130,10/4/2016 19:30,dsupp86637336,drug60843760,967
L131,10/4/2016 19:30,dsupp86637336,drug37448561,570
L132,10/4/2016 19:30,dsupp86637336,drug59470267,994
L133,10/4/2016 19:30,dsupp86637336,drug26446547,683
L134,10/4/2016 19:30,dsupp86637336,drug49452730,919
L135,10/4/2016 19:30,dsupp86637336,drug81570454,501
